0,-139.31939232
1,-142.571724121
2,-130.716555307
3,-129.208206094
4,-119.134394432
5,-113.822350669
6,-112.75042499
7,-96.9808727839
8,-93.5714261842
9,-87.0395164896
10,-85.3330699287
11,-76.9949564369
12,-76.964662224
13,-71.6527991205
14,-74.3460999164
15,-73.4172480268
16,-69.6803890287
17,-66.7317687966
18,-63.8083567773
19,-64.1564105846
20,-65.5767344685
21,-62.8540801739
22,-64.3972481643
23,-63.4824099489
24,-61.7686657401
25,-57.6245852882
26,-62.0158177454
27,-57.3912503751
28,-54.9595074663
29,-55.8140023024
30,-53.9245191048
31,-53.3368792995
32,-55.3062760893
33,-52.2492138993
34,-52.0679007409
35,-54.0270536123
36,-49.9252411125
37,-48.4475516824
38,-51.6689854453
39,-49.2608502507
40,-48.2435808648
41,-45.4351432126
42,-48.7652145188
43,-47.3539250625
44,-45.7039721466
45,-46.4947122927
46,-47.5017466453
47,-46.4209941209
48,-45.1000043726
49,-47.6459770141
50,-44.9944227915
51,-46.4756560203
52,-42.1071455154
53,-43.589317857
54,-44.0951398116
55,-46.8285956937
56,-43.9343093458
57,-44.0762922257
58,-44.7050908542
59,-42.3537861936
60,-40.4536408513
61,-41.7013105611
62,-40.7443115442
63,-42.3861716382
64,-43.1999557077
65,-39.1620954052
66,-43.1481300805
67,-39.8822607852
68,-40.0156719334
69,-40.8694453679
70,-42.2103911883
71,-37.7049606088
72,-37.8247905258
73,-39.1900427364
74,-38.6694983157
75,-38.7683615195
76,-37.4965174042
77,-36.7763446523
78,-36.4558356532
79,-38.4049030642
80,-34.8965826644
81,-36.5848607717
82,-36.0111367629
83,-34.6701798324
84,-36.7847018634
85,-35.0490875984
86,-37.2635466366
87,-33.3367880909
88,-37.8335585055
89,-35.5689123533
90,-33.1817480791
91,-34.3534014516
92,-36.0563303328
93,-34.8872939227
94,-33.557563397
95,-34.2526664498
96,-33.0051407473
97,-34.8272010664
98,-33.8571842847
99,-34.5627651729
100,-34.002584773
101,-31.7117221702
102,-32.842253993
103,-32.8281219805
104,-32.6475157284
105,-33.3940300111
106,-33.4795671565
107,-32.7551745264
108,-34.1845747281
109,-31.1986107204
110,-32.0480998482
111,-34.4232575038
112,-31.6912655881
113,-34.560660111
114,-33.407358948
115,-32.7532574271
116,-34.3401707489
117,-31.8645701643
118,-35.2607081378
119,-32.7129749705
120,-33.4563699201
121,-35.5872880078
122,-32.0281132468
123,-32.8728251623
124,-33.224196584
125,-31.7820855607
126,-34.7929613545
127,-32.8766688249
128,-30.6309885707
129,-30.3114543787
130,-32.751307736
131,-31.8939059961
132,-29.5749002281
133,-30.8435423597
134,-29.0594479248
135,-31.0649204958
136,-31.2816216702
137,-29.9106939194
138,-30.0157935797
139,-34.174684613
140,-30.4065195154
141,-30.6039694129
142,-31.0155924035
143,-33.640641834
144,-31.1090141953
145,-31.3136730302
146,-29.9279895634
147,-27.2371014526
148,-27.9955982977
149,-29.2463101713
150,-31.6640915091
151,-30.1749984392
152,-33.846044225
153,-31.3761573027
154,-28.9539271973
155,-29.5124551966
156,-28.5996804743
157,-28.4176460775
158,-29.9894905356
159,-27.3852073296
160,-28.6491459991
161,-30.6282097417
162,-28.3302501177
163,-32.6211060038
164,-29.7493762494
165,-31.1718142812
166,-27.9007861654
167,-28.6969144945
168,-29.5909418511
169,-29.3631305997
170,-29.4719697761
171,-32.1330014872
172,-27.6606409202
173,-28.5709840586
174,-28.7168472272
175,-29.484931575
176,-27.6305552748
177,-29.8582394869
178,-30.9458798242
179,-30.0204645758
180,-29.2110501043
181,-28.524735603
182,-28.2647935618
183,-30.5874010666
184,-29.1165639601
185,-28.70193293
186,-27.8639357799
187,-28.9393353808
188,-34.8371608332
189,-29.3707401679
190,-30.1001594081
191,-29.1433394353
192,-27.5503023418
193,-30.3833752217
194,-27.7796478958
195,-30.7596689331
196,-28.2584350598
197,-30.1541167375
198,-30.7682148322
199,-29.2471138541
200,-27.9771253019
201,-31.7595471231
202,-32.4560192208
203,-30.9331029152
204,-28.0746452661
205,-31.1654160492
206,-27.1066375861
207,-27.313670328
208,-27.7045317
209,-30.3995638367
210,-30.7257376644
211,-32.1464232834
212,-29.135495538
213,-30.0057262831
214,-28.3625061491
215,-28.9278038243
216,-29.6671014323
217,-26.9713438161
218,-27.7560745643
219,-28.2731414516
220,-28.6408350465
221,-26.0384466233
222,-33.6626162898
223,-27.5681170065
224,-30.64400513
225,-28.7454663541
226,-28.7095517917
227,-29.6269666831
228,-28.1679563945
229,-30.0362822675
230,-26.9494631428
231,-26.5445325542
232,-27.9255733613
233,-29.5486285737
234,-26.3524295517
235,-28.4203835287
236,-26.3149872459
237,-29.3332528315
238,-30.1038711331
239,-25.592513072
240,-27.6609349445
241,-28.5297464549
242,-30.3580567018
243,-26.8291863437
244,-34.6634994505
245,-31.2468868059
246,-28.1866886395
247,-27.6376671307
248,-27.7267165217
249,-29.9855764154
250,-27.8447533696
251,-29.1210750899
252,-24.6978585426
253,-26.5218432553
254,-31.0714247925
255,-26.5059229091
256,-27.82187331
257,-26.2542877503
258,-29.7805799817
259,-26.3888293959
260,-25.0921872206
261,-27.0434523087
262,-26.579507882
263,-27.1775324603
264,-24.3593280251
265,-27.0486785497
266,-25.5344966772
267,-26.8391327005
268,-23.4451128957
269,-28.2203249453
270,-25.4432856868
271,-25.262039174
272,-23.615083353
273,-25.3691385203
274,-31.3482011574
275,-26.9712598878
276,-28.527883765
277,-28.2566460995
278,-24.2208344418
279,-30.6756410852
280,-25.825924902
281,-28.1845548579
282,-27.452869786
